OCCUR_DATE,OCCUR_TIME,BORO,LOC_CLASSFCTN_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,VIC_AGE_GROUP,VIC_SEX,Low_income_Housing_Mean,Households_Receiving_Benefits_Mean,Poverty_Rate_Median,Income_Median
05/27/2021,21:30:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
06/27/2014,17:40:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
11/21/2015,03:56:00,QUEENS,unknown,True,unknown,unknown,25-44,M,566,466,0.1965,28627
10/09/2015,18:30:00,BRONX,unknown,False,unknown,unknown,<18,M,2494,931,0.264,19487
02/19/2009,22:58:00,BRONX,unknown,True,25-44,M,45-64,M,2494,931,0.264,19487
10/21/2020,21:36:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
06/17/2012,22:47:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
03/08/2010,19:41:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
02/05/2012,05:45:00,QUEENS,unknown,False,unknown,unknown,25-44,M,566,466,0.1965,28627
08/26/2012,01:10:00,QUEENS,unknown,False,25-44,M,25-44,M,566,466,0.1965,28627
10/10/2010,03:21:00,MANHATTAN,unknown,False,unknown,unknown,25-44,M,4036,699,0.144,45959
08/29/2010,01:27:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
10/09/2021,20:17:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
05/25/2011,21:58:00,BRONX,unknown,False,unknown,unknown,18-24,M,2494,931,0.264,19487
11/09/2008,20:13:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/05/2007,01:27:00,BRONX,unknown,False,unknown,M,18-24,M,2494,931,0.264,19487
07/27/2010,02:22:00,MANHATTAN,unknown,True,25-44,M,25-44,M,4036,699,0.144,45959
11/14/2012,21:07:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/01/2021,02:44:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
03/07/2021,21:17:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
02/01/2015,23:16:00,MANHATTAN,unknown,True,18-24,M,18-24,F,4036,699,0.144,45959
12/28/2014,19:53:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
07/24/2020,01:30:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
03/03/2006,11:15:00,BROOKLYN,unknown,False,unknown,M,45-64,M,2670,838,0.221,25924
10/11/2007,20:11:00,BRONX,unknown,False,45-64,M,25-44,M,2494,931,0.264,19487
05/27/2017,12:00:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
07/26/2009,03:47:00,BROOKLYN,unknown,True,unknown,unknown,18-24,M,2670,838,0.221,25924
05/09/2011,18:49:00,BRONX,unknown,True,unknown,unknown,25-44,M,2494,931,0.264,19487
03/28/2016,19:10:00,BRONX,unknown,False,25-44,F,45-64,M,2494,931,0.264,19487
03/06/2013,04:08:00,QUEENS,unknown,True,25-44,M,25-44,M,566,466,0.1965,28627
01/21/2006,21:49:00,MANHATTAN,unknown,True,18-24,M,18-24,M,4036,699,0.144,45959
05/13/2012,12:34:00,BROOKLYN,unknown,False,25-44,M,18-24,M,2670,838,0.221,25924
10/06/2007,18:18:00,BROOKLYN,unknown,False,unknown,M,45-64,M,2670,838,0.221,25924
04/14/2006,19:35:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
02/08/2018,20:16:00,STATEN ISLAND,unknown,False,18-24,M,45-64,M,524,318,0.144,35413
12/15/2013,17:30:00,BROOKLYN,unknown,False,18-24,F,25-44,M,2670,838,0.221,25924
08/06/2011,08:55:00,BROOKLYN,unknown,False,unknown,unknown,45-64,M,2670,838,0.221,25924
08/25/2012,06:00:00,BROOKLYN,unknown,False,18-24,M,18-24,M,2670,838,0.221,25924
08/07/2007,21:30:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
10/31/2021,14:24:00,BROOKLYN,unknown,True,25-44,M,18-24,M,2670,838,0.221,25924
09/18/2021,19:41:00,MANHATTAN,unknown,False,18-24,M,25-44,M,4036,699,0.144,45959
11/17/2016,01:00:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
06/20/2017,22:30:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
10/04/2006,20:33:00,BROOKLYN,unknown,False,unknown,M,65+,M,2670,838,0.221,25924
04/04/2021,23:15:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
10/09/2009,04:00:00,MANHATTAN,unknown,False,25-44,M,18-24,M,4036,699,0.144,45959
06/11/2012,23:17:00,QUEENS,unknown,True,unknown,unknown,18-24,M,566,466,0.1965,28627
05/17/2008,22:50:00,BROOKLYN,unknown,False,unknown,M,<18,M,2670,838,0.221,25924
12/23/2007,21:09:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
02/07/2014,06:25:00,MANHATTAN,unknown,False,unknown,unknown,18-24,M,4036,699,0.144,45959
08/09/2007,15:28:00,MANHATTAN,unknown,False,unknown,M,25-44,M,4036,699,0.144,45959
06/29/2020,20:56:00,BROOKLYN,unknown,False,25-44,M,45-64,M,2670,838,0.221,25924
11/14/2010,15:15:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
01/18/2013,00:04:00,BRONX,unknown,False,18-24,F,18-24,M,2494,931,0.264,19487
04/03/2010,04:00:00,STATEN ISLAND,unknown,False,18-24,M,18-24,M,524,318,0.144,35413
05/18/2006,20:16:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
12/24/2008,06:46:00,BRONX,unknown,False,45-64,M,45-64,F,2494,931,0.264,19487
06/05/2016,00:36:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
09/10/2006,02:00:00,QUEENS,unknown,True,25-44,M,25-44,M,566,466,0.1965,28627
07/02/2010,01:56:00,BROOKLYN,unknown,False,unknown,unknown,45-64,M,2670,838,0.221,25924
05/31/2006,00:37:00,BRONX,unknown,True,<18,M,18-24,M,2494,931,0.264,19487
05/01/2016,20:15:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
07/02/2021,23:13:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
05/16/2015,00:30:00,BRONX,unknown,False,25-44,M,18-24,M,2494,931,0.264,19487
12/24/2009,23:47:00,QUEENS,unknown,False,18-24,M,<18,M,566,466,0.1965,28627
02/24/2021,14:00:00,MANHATTAN,unknown,False,unknown,unknown,25-44,M,4036,699,0.144,45959
08/27/2014,22:36:00,QUEENS,unknown,False,unknown,unknown,18-24,M,566,466,0.1965,28627
11/21/2017,22:25:00,BROOKLYN,unknown,True,18-24,M,25-44,F,2670,838,0.221,25924
04/05/2020,03:19:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
01/22/2018,22:50:00,BRONX,unknown,False,unknown,unknown,25-44,M,2494,931,0.264,19487
09/16/2010,00:11:00,BRONX,unknown,False,<18,M,25-44,M,2494,931,0.264,19487
07/16/2010,20:30:00,BROOKLYN,unknown,False,18-24,M,<18,M,2670,838,0.221,25924
12/11/2011,04:00:00,BRONX,unknown,True,unknown,unknown,25-44,M,2494,931,0.264,19487
08/20/2019,21:25:00,BROOKLYN,unknown,True,25-44,M,25-44,M,2670,838,0.221,25924
11/05/2021,22:10:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
12/08/2014,16:15:00,BRONX,unknown,True,unknown,unknown,25-44,M,2494,931,0.264,19487
06/25/2009,01:46:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
11/15/2006,19:17:00,MANHATTAN,unknown,False,25-44,M,<18,M,4036,699,0.144,45959
09/01/2009,16:00:00,BROOKLYN,unknown,False,18-24,M,18-24,F,2670,838,0.221,25924
01/13/2013,03:25:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
05/05/2007,00:39:00,BROOKLYN,unknown,True,18-24,M,18-24,M,2670,838,0.221,25924
12/11/2007,12:35:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
04/15/2008,06:03:00,MANHATTAN,unknown,False,45-64,M,25-44,M,4036,699,0.144,45959
01/16/2015,21:50:00,QUEENS,unknown,False,18-24,M,18-24,M,566,466,0.1965,28627
05/01/2018,11:00:00,BRONX,unknown,True,25-44,M,25-44,M,2494,931,0.264,19487
12/06/2013,22:05:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
12/06/2010,15:00:00,QUEENS,unknown,False,unknown,M,25-44,M,566,466,0.1965,28627
06/25/2017,02:02:00,MANHATTAN,unknown,False,18-24,M,18-24,M,4036,699,0.144,45959
06/28/2007,22:19:00,BRONX,unknown,False,25-44,M,45-64,M,2494,931,0.264,19487
05/09/2021,19:43:00,MANHATTAN,unknown,False,unknown,unknown,45-64,M,4036,699,0.144,45959
10/29/2013,00:26:00,BROOKLYN,unknown,False,45-64,M,45-64,M,2670,838,0.221,25924
08/04/2008,03:54:00,BRONX,unknown,True,25-44,M,18-24,M,2494,931,0.264,19487
03/27/2006,08:45:00,QUEENS,unknown,False,25-44,M,18-24,M,566,466,0.1965,28627
04/07/2021,02:07:00,MANHATTAN,unknown,False,18-24,M,25-44,M,4036,699,0.144,45959
11/02/2019,10:37:00,BRONX,unknown,False,25-44,M,25-44,M,2494,931,0.264,19487
01/05/2015,16:58:00,BROOKLYN,unknown,False,18-24,M,25-44,M,2670,838,0.221,25924
04/27/2009,01:05:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
11/15/2021,17:55:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/24/2020,17:32:00,BROOKLYN,unknown,True,25-44,M,25-44,M,2670,838,0.221,25924
07/22/2012,21:35:00,BRONX,unknown,False,<18,M,<18,M,2494,931,0.264,19487
07/20/2011,12:39:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
02/09/2018,00:12:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
09/06/2011,02:20:00,QUEENS,unknown,False,18-24,M,18-24,F,566,466,0.1965,28627
11/19/2018,00:05:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
04/10/2006,08:59:00,BRONX,unknown,False,18-24,M,18-24,M,2494,931,0.264,19487
01/31/2011,03:18:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/08/2006,00:44:00,QUEENS,unknown,False,25-44,M,<18,M,566,466,0.1965,28627
02/09/2006,14:55:00,QUEENS,unknown,True,25-44,M,25-44,F,566,466,0.1965,28627
09/28/2021,20:40:00,MANHATTAN,unknown,False,25-44,M,25-44,F,4036,699,0.144,45959
04/22/2012,02:27:00,BRONX,unknown,False,25-44,M,18-24,M,2494,931,0.264,19487
08/24/2017,22:33:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
09/07/2016,22:48:00,BROOKLYN,unknown,False,unknown,unknown,25-44,M,2670,838,0.221,25924
07/13/2013,02:05:00,BROOKLYN,unknown,False,25-44,M,18-24,F,2670,838,0.221,25924
11/14/2010,02:00:00,MANHATTAN,unknown,False,18-24,M,18-24,M,4036,699,0.144,45959
11/01/2012,15:43:00,BROOKLYN,unknown,False,25-44,M,25-44,M,2670,838,0.221,25924
12/07/2021,21:10:00,BRONX,unknown,True,unknown,unknown,25-44,M,2494,931,0.264,19487
08/12/2007,00:50:00,BRONX,unknown,False,unknown,M,<18,M,2494,931,0.264,19487
05/06/2018,20:57:00,BROOKLYN,unknown,False,unknown,unknown,18-24,M,2670,838,0.221,25924
12/17/2009,23:55:00,BROOKLYN,unknown,False,25-44,M,25-44,F,2670,838,0.221,25924
05/12/2007,21:31:00,MANHATTAN,unknown,False,unknown,M,25-44,F,4036,699,0.144,45959
12/29/2012,22:28:00,QUEENS,unknown,True,unknown,unknown,25-44,M,566,466,0.1965,28627
03/28/2009,23:50:00,QUEENS,unknown,False,unknown,M,18-24,M,566,466,0.1965,28627
12/16/2007,02:52:00,BROOKLYN,unknown,False,unknown,M,18-24,M,2670,838,0.221,25924
09/26/2008,10:54:00,BROOKLYN,unknown,True,unknown,unknown,25-44,M,2670,838,0.221,25924
